publish_time,now_rank,fanghao,share,danmaku,aid,coin,his_rank,tminfo,title,url,favorite,reply,view
2016-09-16 23:58,0,nil,405,19011,6311005,21393,25,游戏,【MC厂长】教你做月饼,http://www.bilibili.com/video/av6311005,3688,3506,839288
2016-09-23 10:42,0,nil,2111,9962,6380768,17543,95,舞蹈,【菟籽琳】极乐净土 ???????? 禁忌的撩人三重奏?,http://www.bilibili.com/video/av6380768,28127,1056,836167
2016-09-27 10:55,0,nil,1912,8787,6433460,6746,80,游戏,羞耻度爆表！女孩子玩基佬游戏/-...自己打开的游戏跪着也要玩下去,http://www.bilibili.com/video/av6433460,14512,1282,832861
2016-09-30 00:30,0,nil,211,5362,6464154,3591,41,游戏,【逗鱼时刻】第87期 在下古尔丹·明,http://www.bilibili.com/video/av6464154,840,1235,832648
2016-09-03 10:44,0,nil,728,27987,6135634,45755,55,游戏,【C菌】妈的超智障! 最奇葩傻缺游戏集合!【第15期】神奇的功夫!,http://www.bilibili.com/video/av6135634,7123,6647,829127
2016-09-23 18:00,0,nil,445,4807,6385006,7093,19,生活,papi酱不定期更新的日常——没事儿不要读日记,http://www.bilibili.com/video/av6385006,3994,2456,828149
2016-09-30 20:33,0,nil,357,7061,6472986,3251,48,游戏,徐老师来巡山84：一脸茫然 克烈凌空疯狂输出！,http://www.bilibili.com/video/av6472986,1342,1609,821601
2016-09-23 00:59,0,nil,218,4793,6378784,3797,30,游戏,【逗鱼时刻】第86期 厉害了我的哥,http://www.bilibili.com/video/av6378784,895,1133,809005
2016-09-16 10:59,0,nil,320,8194,6298914,9939,41,游戏,【老E】酋长之手！,http://www.bilibili.com/video/av6298914,2867,3782,805385
2016-09-09 22:09,0,nil,360,8323,6216385,2896,44,游戏,徐老师来巡山81：爆笑一级团三勾全空,http://www.bilibili.com/video/av6216385,1556,1663,814823
2016-09-02 21:20,0,nil,400,8454,6130160,3191,77,游戏,徐老师来巡山80：潘森立定跳远 居然坐死艾克两次,http://www.bilibili.com/video/av6130160,1792,2243,796935
2016-09-21 18:48:31,0,6363539,281,19233,6363539,2211,0,番剧,双星之阴阳师 : 第24集 污秽所见之梦,http://www.bilibili.com/video/av6363539,256,2126,806560
2016-09-16 22:27,0,nil,610,8321,6309657,3382,26,游戏,徐老师来巡山82：震惊四座 大宝剑空降战场,http://www.bilibili.com/video/av6309657,1920,2144,795097
2016-09-19 18:29,0,nil,1419,8756,6343543,12083,6,生活,papi酱的周一放送——我们都会变成自己讨厌的人,http://www.bilibili.com/video/av6343543,5583,3763,772088
2016-09-13 17:18,0,nil,6891,7252,6263191,27944,91,鬼畜,【猫和老鼠】不如跳舞,http://www.bilibili.com/video/av6263191,34696,1466,759613
2016-09-28 18:25,0,6448434,255,19270,6448434,1143,0,番剧,双星之阴阳师 : 第25集 天·元·空·我,http://www.bilibili.com/video/av6448434,251,2055,794278
2016-09-04 12:10,1,nil,2151,18186,6151706,10935,26,生活,神还原Cosplay 德国金发妹子来袭，第十六期,http://www.bilibili.com/video/av6151706,48595,1995,749655
2016-09-02 03:00:10,0,6117792,376,28986,6117792,2608,0,番剧,这个美术社大有问题！ : 第9集 魔导书再一次散步,http://www.bilibili.com/video/av6117792,443,2362,755784
2016-09-30 15:24,0,nil,1802,4776,6469017,4810,27,生活,gif动态图 福利不多 第四期,http://www.bilibili.com/video/av6469017,26227,669,746317
2016-09-09 11:30,0,nil,214,11142,6208992,2765,0,番剧,一人之下 10 道去人死 水干鱼终,http://www.bilibili.com/video/av6208992,380,3076,745536
2016-09-16 23:09,0,nil,483,23560,6310323,5258,0,番剧,一人之下 11 人在道中，道在人中,http://www.bilibili.com/video/av6310323,706,5701,742047
2016-09-15 13:58,1,nil,5684,6196,6285705,14474,94,鬼畜,【猫和老鼠】老司机带带我,http://www.bilibili.com/video/av6285705,28461,1195,731960
2016-09-25 20:27,0,nil,4392,7659,6416910,6053,90,鬼畜,【杨永信喊麦】一人我电疗醉,http://www.bilibili.com/video/av6416910,14327,3641,731227
2016-09-09 21:58,0,nil,718,10470,6216224,2096,86,生活,【老美你怎么看】老美初次遭遇卤蛋、皮蛋、咸鸭蛋和茶叶蛋，彻底被吓呆... 蛋还能长成这样！,http://www.bilibili.com/video/av6216224,5512,2484,731051
2016-09-25 10:52,0,nil,1110,36685,6408368,18173,0,番剧,一人之下 12 欲求无上道，大众念天尊 40分钟完结篇,http://www.bilibili.com/video/av6408368,1231,5896,720756
2016-09-16 10:22,0,nil,1577,37224,6298459,28422,39,游戏,【C菌】妈的...智障! 那些最奇葩傻缺的游戏集合!【第16期】战争永不结束!,http://www.bilibili.com/video/av6298459,7326,5424,726486
2016-09-02 10:44,0,nil,250,16034,6122377,3907,0,番剧,一人之下 09 有求皆苦，无欲则刚,http://www.bilibili.com/video/av6122377,442,2018,719437
2016-09-05 01:35,0,6159685,214,9650,6159685,1011,0,番剧,齐木楠雄的灾难 : 第9集,http://www.bilibili.com/video/av6159685,204,1284,727384
2016-09-05 10:35,0,nil,6856,5836,6164525,9542,93,生活,在家偷穿文胸被老妈发现！全程高能~,http://www.bilibili.com/video/av6164525,6944,1945,717727
2016-09-09 16:44,1,nil,6109,3741,6212204,22135,85,鬼畜,【肾宝】潜行吧！吕子乔W,http://www.bilibili.com/video/av6212204,28738,1499,713256
2016-09-26 21:22,1,nil,7781,6083,6429040,18765,60,生活,【瞎看什么】戒色吧！逛小黄网会死,http://www.bilibili.com/video/av6429040,22835,2781,706670
2016-09-09 03:00,0,6204148,279,29385,6204148,2299,0,番剧,这个美术社大有问题！ : 第10集 回忆的香织补习班,http://www.bilibili.com/video/av6204148,424,1971,719174
2016-09-28 18:19,0,nil,5649,6365,6449135,19638,74,动画,【MMD】    自制8人镜头     之极乐净土，做得我快吐血了快扶我起来，啊,http://www.bilibili.com/video/av6449135,46911,1169,704643
2016-09-03 00:20,1,nil,2997,5737,6132458,43136,88,音乐,【泠鸢·完整版】神代梦华谭,http://www.bilibili.com/video/av6132458,61467,3663,703008
未知,0,nil,736,15909,6270550,481,0,电影,【灾难/剧情】隧道.The Tunnel.2016.【RARBT】,http://www.bilibili.com/video/av6270550,9489,402,702236
2016-09-27 16:28,0,nil,7522,9397,6436447,5541,70,生活,【大宝剑联盟】日本高中生的日常 高中生中现在很火的苹果菠萝笔之歌,http://www.bilibili.com/video/av6436447,24940,2144,700024
2016-09-13 08:34,0,nil,1196,8037,6258902,2414,67,游戏,【灵魂CV】如果用四川话来配音屁股的话会怎么样，有毒慎入！,http://www.bilibili.com/video/av6258902,7969,1071,698741
2016-09-29 19:11,0,nil,1524,6411,6460490,13973,39,舞蹈,【醋醋】?极乐净土?更新2p和风现场版,http://www.bilibili.com/video/av6460490,23552,1681,698648
2016-09-15 00:42,0,nil,6952,5425,6280036,13898,58,鬼畜,听说你们喜欢看鬼畜古诗？,http://www.bilibili.com/video/av6280036,34163,1989,690774
2016-09-21 19:24,0,nil,1706,2588,6364951,2711,46,电影,【谷阿莫】6分鐘看完2016喪屍電影《釜山行》,http://www.bilibili.com/video/av6364951,2606,3160,689853
2016-09-01 16:53,0,nil,6302,3888,6114258,23747,89,鬼畜,【守望先锋】堡垒哔哔哔,http://www.bilibili.com/video/av6114258,29459,1805,687554
2016-09-04 22:30,0,6159680,347,19997,6159680,2404,0,番剧,热诚传说X : 第10集 瘟疫之城,http://www.bilibili.com/video/av6159680,480,2914,698035
2016-09-12 01:35,0,6242069,276,11585,6242069,1043,0,番剧,齐木楠雄的灾难 : 第10集,http://www.bilibili.com/video/av6242069,220,847,690670
2016-09-23 19:24,0,nil,6239,15709,6386091,43188,86,音乐,【排骨】身骑白马（纯女声）,http://www.bilibili.com/video/av6386091,33781,6371,669951
2016-09-08 17:42,0,nil,4220,4105,6201866,2235,43,生活,【搬运】当骗子遇到撒贝宁……（对话录音）,http://www.bilibili.com/video/av6201866,20196,3163,677582
2016-09-30 09:57,0,nil,4354,44965,6465971,13592,92,游戏,【总监】教你画出比SSR还好的式神，画符原来如此简单。【阴阳师】,http://www.bilibili.com/video/av6465971,9087,3061,666659
2016-09-05 23:30,0,6171105,372,25645,6171105,1602,0,番剧,弹丸论破3 -未来篇- : 第9集 你是我甘愿赴死的理由,http://www.bilibili.com/video/av6171105,507,10559,674433
2016-09-12 23:30,0,6254370,244,21949,6254370,1609,0,番剧,弹丸论破3 -未来篇- : 第10集 死亡 毁灭 绝望,http://www.bilibili.com/video/av6254370,417,6465,667453
2016-09-07 17:19,0,nil,136,12599,6190389,5601,23,游戏,王老菊的新菊家村故事01：英国小镇,http://www.bilibili.com/video/av6190389,2175,2820,650710
2016-09-23 09:11,0,nil,429,9371,6380138,10105,33,游戏,【老E】所以说恐怖游戏什么的最讨厌了(?д?;),http://www.bilibili.com/video/av6380138,4183,2185,650211
2016-09-29 19:37,0,nil,3605,6802,6460748,17438,15,鬼畜,以云南山歌的方式打开鬼畜,http://www.bilibili.com/video/av6460748,19139,1306,649177
2016-09-06 12:00,0,nil,765,73037,6175933,3771,0,番剧,【合集】龙与虎！,http://www.bilibili.com/video/av6175933,8229,4099,647843
2016-09-16 03:00,0,6293816,274,28103,6293816,2411,0,番剧,这个美术社大有问题！ : 第11集 团结！空罐！文化祭！,http://www.bilibili.com/video/av6293816,403,2991,649021
2016-09-11 11:47,0,nil,478,2477,6236171,1936,30,游戏,守望先锋【午时已到】第11期：想想你过去的所做所为,http://www.bilibili.com/video/av6236171,1549,799,645304
2016-09-12 17:23,0,nil,97,2063,6252635,1986,96,游戏,炉石传说：【天天素材库】 第23期,http://www.bilibili.com/video/av6252635,545,981,646693
2016-09-02 18:18,0,nil,1731,6668,6127578,20825,53,舞蹈,【西四】极乐净土?Lamb.?Pink Cat?Girls【三周年套装】,http://www.bilibili.com/video/av6127578,21549,1836,639554
2016-09-30 00:00,0,6460418,716,33279,6460418,3797,0,番剧,弹丸论破3 -绝望篇- : 第12集 希望篇：希望的学园与绝望的高中生,http://www.bilibili.com/video/av6460418,1258,8132,646184
2016-09-28 13:48,0,nil,3020,3685,6446345,15353,35,生活,你可见过模仿自己鬼畜的UP~,http://www.bilibili.com/video/av6446345,9818,3903,638584
